캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자,전화번호,영업상태,폐업일자,휴업시작일자,휴업종료일자,우편번호,지역구분,총층수,주변환경,보험기관,건물용도,지상층수,지하층수,객실수
리프레쉬캠핑장,일반야영장업,,,강원도 평창군 봉평면 흥정계곡4길 7-25,,,,,,,,,,,,,,,2017-07-13,,영업/정상,,,,25300,,0,,,,0,0,0
횡성노다지야영장,일반야영장업,,,"강원도 횡성군 청일면 춘당로 232, 해오름살림학교",,,,,,,,,,,,,,,2018-11-19,033 344 3346,영업/정상,,,,25253,관리지역,1,기타,,교육연구시설,1,,
돌고래오토캠핑장,일반야영장업,,,충청남도 태안군 남면 몽대로 512-21,,,,,,,,,,,,,,,2016-07-25,,영업/정상,,,,32152,관리지역,,,,,,,
한마음오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-27,,영업/정상,,,,,관리지역,,,,,,,
가든글램핑(스테이더딜라잇),일반야영장업,,,충청남도 태안군 원북면 신두로 690-57,,,,,,,,,,,,,,,2020-12-16,,영업/정상,,,,32108,,0,,,,0,0,0
글로리아 야영장,일반야영장업,,,충청남도 홍성군 서부면 서부서길554번길 58,,,,,,,,,,,,,,,2020-12-10,,영업/정상,,,,32204,관리지역,1,기타,농협손해보험,기타,0,0,0
미시령 별이내린 캠핑장,일반야영장업,,,강원도 인제군 북면 미시령로 1796,,,,,,,,,,,,,,,2021-01-12,,영업/정상,,,,24605,주거지역,0,,,,0,0,0
가든글램핑A(스테이더딜라인),일반야영장업,,,충청남도 태안군 원북면 신두로 690-97,,,,,,,,,,,,,,,2020-12-28,,영업/정상,,,,32108,,,,,,,,
파인트리캠핑장,일반야영장업,,,강원도 정선군 남면 광락로 349-30,,,,,,,,,,,,,,,2021-01-20,033-592-8888,영업/정상,,,,26143,,0,,,,0,0,0
바다야 놀자,일반야영장업,,,,,,,,,,,,,,,,,,2021-01-22,041-642-0556,영업/정상,,,,,,,,,,,,
평창하늘캠핑장,일반야영장업,,,강원도 평창군 봉평면 흥정계곡4길 71-8,,,,,,,,,,,,,,,2021-01-22,,영업/정상,,,,25300,,0,기타,,기타,0,0,0
포시즌 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2021-01-22,,영업/정상,,,,,관리지역,1,기타,,기타,,,
올레유 캠핑장,일반야영장업,,,충청남도 태안군 원북면 동해길 196-5,,,,,,,,,,,,,,,2022-06-09,,영업/정상,,,,32113,관리지역,0,기타,,,0,0,0
용화산테마파크 캠핑장,일반야영장업,,,강원도 춘천시 사북면 용화산로 76-72,,,,,,,,,,,,,,,2022-06-03,,영업/정상,,,,24201,,0,,,,0,0,0
산너미목장,일반야영장업,,,강원도 평창군 미탄면 산너미길 225-36,,,,,,,,,,,,,,,2022-05-20,,영업/정상,,,,25380,,0,,,,0,0,0
원시관광농원,일반야영장업,,,,,,,,,,,,,,,,,,2022-06-14,,영업/정상,,,,,,0,기타,,기타,0,0,0
그날이오면,일반야영장업,,,,,,,,,,,,,,,,,,2022-05-31,,영업/정상,,,,,관리지역,0,기타,,환경위생시설,0,0,0
두더지CAMP,일반야영장업,,,충청북도 제천시 한수면 봉화재길 711,,,,,,,,,,,,,,,2022-05-31,,영업/정상,,,,27222,관리지역,0,기타,,기타,0,0,0
포레스트캐빈앤캠프,일반야영장업,,,충청북도 제천시 덕산면 월악산로5길 17-141,,,,,,,,,,,,,,,2022-05-31,,영업/정상,,,,27225,,0,기타,,기타,0,0,0
솔밭야영장,일반야영장업,,,강원도 고성군 현내면 초도항길 19,,,,,,,,,,,,,,,2022-06-03,033-682-6020,영업/정상,,,,24706,관리지역,0,,,,0,0,0
장신리 마을관리휴양지 야영장,일반야영장업,,,강원도 고성군 간성읍 소똥령마을길 32,,,,,,,,,,,,,,,2022-06-03,033-681-8126,영업/정상,,,,24741,관리지역,0,기타,,,0,0,0
I(아이)캠핑,일반야영장업,,,,,,,,,,,,,,,,,,2022-06-10,,영업/정상,,,,,관리지역,0,기타,,기타,0,0,0
상동 선바위골 국민여가캠핑장,일반야영장업,,,강원도 영월군 상동읍 선바위길 72,,,,,,,,,,,,,,,2022-05-30,033-370-2543,영업/정상,,,,26248,관리지역,1,,,기타,1,0,0
상동 장산 야영장,일반야영장업,,,강원도 영월군 상동읍 태백산로 3707,,,,,,,,,,,,,,,2022-06-23,,영업/정상,,,,26248,관리지역,2,기타,,기타,2,0,0
스탈릿캠핑펜션,일반야영장업,,,강원도 평창군 용평면 신약수로 261,,,,,,,,,,,,,,,2022-06-08,,영업/정상,,,,25312,,1,,,단독주택,1,0,0
팜앤투어 캠핑장,일반야영장업,,,충청남도 예산군 광시면 시목1길 70-41,,,,,,,,,,,,,,,2022-04-29,,영업/정상,,,,32456,관리지역,2,기타,,근린생활시설,2,0,0
제이드별빛카라반 캠핑장,일반야영장업,,,강원도 춘천시 남산면 햇골길 62,,,,,,,,,,,,,,,2022-06-09,,영업/정상,,,,24464,관리지역,0,,농협손해보험,,0,0,0
스테리움 서천,일반야영장업,,,충청남도 서천군 마서면 삼연길64번길 19,,,,,,,,,,,,,,,2022-05-25,,영업/정상,,,,33655,관리지역,0,,,,0,0,0
선도리 갯벌 글램핑장,일반야영장업,,,,,,,,,,,,,,,,,,2022-05-24,,영업/정상,,,,,,0,,,,0,0,0
알지캠프266,일반야영장업,,,강원도 홍천군 내촌면 광석로 262,,,,,,,,,,,,,,,2022-06-29,,영업/정상,,,,25161,관리지역,1,,,,1,0,0
라라랜드,일반야영장업,,,충청남도 금산군 제원면 신안사로 487,,,,,,,,,,,,,,,2022-06-02,,영업/정상,,,,32719,관리지역,1,기타,,전문하숙집,1,0,0
또보리 캠프,일반야영장업,,,,,,,,,,,,,,,,,,2022-06-02,,영업/정상,,,,,,0,,,,0,0,0
여유캠핑장,일반야영장업,,,강원도 삼척시 근덕면 내평길 261,,,,,,,,,,,,,,,2022-06-24,,영업/정상,,,,25936,관리지역,1,기타,,기타,1,0,0
대둔산 양촌 벤자민 글램핑,일반야영장업,,,충청남도 논산시 양촌면 바랑산2길 139-18,,,,,,,,,,,,,,,2022-05-27,,영업/정상,,,,33025,,0,,,,0,0,0
캠핑드림캠핑장,일반야영장업,,,충청남도 태안군 근흥면 용도로 410-80,,,,,,,,,,,,,,,2022-06-24,,영업/정상,,,,32129,관리지역,0,기타,,다중주택(공동주택적용),0,0,0
소풍,일반야영장업,,,충청북도 진천군 광혜원면 화랑길 64-11,,,,,,,,,,,,,,,2022-04-27,,영업/정상,,,,27802,,0,,,근린생활시설,0,0,14
하조스테이,일반야영장업,,,,,,,,,,,,,,,,,,2022-06-17,,영업/정상,,,,,관리지역,0,기타,,기타,0,0,0
벌천포오토캠핑장,일반야영장업,,,충청남도 서산시 대산읍 벌천포길 93-25,,,,,,,,,,,,,,,2022-05-04,,영업/정상,,,,31911,자연녹지지역,0,,,,0,0,0
행운캠핑장,일반야영장업,,,강원도 춘천시 동산면 윗성골길 6,,,,,,,,,,,,,,,2022-05-17,0507-1410-2326,영업/정상,,,,24410,관리지역,1,,삼성화재,,0,0,0
(주)하늘마음바이오 홍천지점 알파카스테이,일반야영장업,,,강원도 홍천군 화촌면 가락재로 206,,,,,,,,,,,,,,,2019-04-10,1899-2250,휴업,,2023-01-15,2023-12-31,25156,관리지역,,,,,,,
대천용두야영장,일반야영장업,,,충청남도 보령시 웅천읍 열린바다로 100-50,,,,,,,,,,,,,,,2019-09-23,,휴업,,2022-01-01,2022-07-31,33508,관리지역,0,기타,,기타,0,0,0
국립용대자연휴양림,일반야영장업,,,"강원도 인제군 북면 연화동길 7, 용대리자연자연휴양림",,,,,,,,,,,,,,,2015-06-12,033-462-5031,휴업,,2022-11-01,2023-04-30,24605,,0,,,,0,0,0
안단테 홍천캠핑장,일반야영장업,,,강원도 홍천군 내촌면 가래올길 53-16,,,,,,,,,,,,,,,2015-06-01,033-433-9005,휴업,,2021-07-27,2023-06-30,25163,관리지역,2,기타,,기타,2,,
동강글램핑,일반야영장업,,,강원도 영월군 영월읍 동강로 124-10,,,,,,,,,,,,,,,2017-09-06,333751112,휴업,,2022-09-26,2023-09-25,26223,관리지역,,기타,,,,,
구룡레저타운야영장,일반야영장업,,,강원도 원주시 소초면 치악로 3403,,,,,,,,,,,,,,,2015-06-18,033-732-0995,휴업,,2022-11-27,2023-03-02,26304,관리지역,0,기타,,,1,0,0
국립검봉산자연휴양림,일반야영장업,,,강원도 삼척시 원덕읍 임원안길 525-145,,,,,,,,,,,,,,,2015-05-13,033-574-2553,휴업,,2022-11-01,2023-04-30,25956,,,,,,,,
덕풍계곡 솔밭야영장,일반야영장업,,,강원도 삼척시 가곡면 덕풍길 928,,,,,,,,,,,,,,,2015-08-31,,휴업,,2021-06-09,2022-06-30,25955,,0,,,,0,0,0
차밍캠핑,일반야영장업,,,강원도 원주시 지정면 지정로 1393,,,,,,,,,,,,,,,2017-07-11,031-771-3440,휴업,,2022-08-30,2023-02-28,26357,관리지역,1,기타,,근린생활시설,0,0,0
간현관광지 캠핑장,일반야영장업,,,강원도 원주시 지정면 소금산길 26,,,,,,,,,,,,,,,2018-08-10,033-737-4765,휴업,,2022-06-10,2023-03-31,26359,관리지역,0,,,,0,0,0
숲속동키마을 캠핑장,일반야영장업,,,강원도 홍천군 홍천읍 며느리고개길 148-18,,,,,,,,,,,,,,,2016-03-10,033-434-3486,휴업,,2023-01-01,2023-06-30,25117,관리지역,1,기타,,근린생활시설,1,,
엘리시안 강촌 캠핑파크,일반야영장업,,,강원도 춘천시 남산면 북한강변길 688,,,,,,,,,,,,,,,2015-06-04,033-260-2374,휴업,,2022-11-07,2023-03-31,24464,,0,,DB손해보험,,0,0,0
백담정 캠핑장,일반야영장업,,,"강원도 인제군 북면 백담로 126, 백담정 캠핑장",,,,,,,,,,,,,,,2018-12-11,,휴업,,2022-12-07,2023-04-30,24606,,0,,,,0,0,0
늘해랑캠핑장,일반야영장업,,,충청북도 제천시 금성면 중포1안길 89,,,,,,,,,,,,,,,2015-10-02,,휴업,,2018-11-29,2020-12-30,27210,관리지역,,기타,,,,,
초원오토캠핑장,일반야영장업,,,충청북도 충주시 중앙탑면 감노로 2003,,,,,,,,,,,,,,,2015-04-30,043-855-8466,휴업,,2022-07-15,2022-08-15,27448,관리지역,0,기타,삼성화재해상보험,,0,0,0
가리왕산 자건재,일반야영장업,,,강원도 정선군 정선읍 청량길 14-2,,,,,,,,,,,,,,,2018-09-20,033 563 0303,휴업,,2021-11-09,2023-11-09,26119,,,,,,,,
얼음골야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-09-27,,휴업,,2022-11-01,2023-05-31,,관리지역,1,기타,,기타,,,
청빈낙원,일반야영장업,,,충청남도 공주시 사곡면 마곡사로 760-15,,,,,,,,,,,,,,,2016-06-03,,휴업,,2021-10-20,2022-05-20,32520,관리지역,2,기타,,사무실,1,0,0
놀자캠핑,일반야영장업,,,충청남도 공주시 사곡면 해월길 60-13,,,,,,,,,,,,,,,2018-11-15,,휴업,,2022-01-01,2024-01-01,32523,관리지역,,기타,,기타,,,
횡성군 병지방 오토캠핑장,일반야영장업,,,강원도 횡성군 갑천면 어답산로 516,,,,,,,,,,,,,,,2015-07-27,,휴업,,2022-12-01,2023-03-31,25251,,0,,,,0,0,0
참숯골,일반야영장업,,,충청남도 당진시 고대면 보덕포로 545-14,,,,,,,,,,,,,,,2016-07-19,,휴업,,2022-06-29,2022-10-29,31792,,0,,,,0,0,0
팔리봉 캠핑장,일반야영장업,,,강원도 인제군 북면 풍전동길 50-209,,,,,,,,,,,,,,,2015-06-05,,휴업,,2017-01-02,2022-01-31,24609,,,,,,,,
선바위자연캠핑장,일반야영장업,,,강원도 횡성군 갑천면 병지방길 2,,,,,,,,,,,,,,,2018-07-07,,휴업,,2022-12-01,2023-03-31,25251,,0,,,,0,0,0
산타파크 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2015-07-27,,휴업,,2021-07-15,2023-12-31,,,,,,,,,
아침가리 계곡 캠핑장,일반야영장업,,,강원도 인제군 기린면 조침령로 1156,,,,,,,,,,,,,,,2017-06-02,,휴업,,2023-01-16,2023-07-20,24653,,,,,,,,
내린천 주말농장,일반야영장업,,,강원도 인제군 상남면 내린천로 3041,,,,,,,,,,,,,,,2017-09-18,,휴업,,2020-08-10,2021-12-30,24665,,,,,,,,
캠프도고,일반야영장업,,,충청남도 아산시 선장면 삼봉로 70,,,,,,,,,,,,,,,2013-12-11,541-5511,휴업,,2020-09-16,2021-09-15,31546,,,,,,,,20
국립중앙과학관,일반야영장업,,,대전광역시 유성구 대덕대로 481 (구성동),,,,,,,,,,,,,,,2015-05-04,042-601-7934,휴업,,2019-10-01,2024-12-31,34143,자연녹지지역,0,기타,,,0,0,0
단양팔경투어,일반야영장업,,,충청북도 단양군 단양읍 단양노동길 492,,,,,,,,,,,,,,,2015-09-15,,휴업,,2022-01-01,2022-12-31,27024,,,,,,,,
칠갑산도림휴양림캠핑장,일반야영장업,,,충청남도 청양군 장평면 도림로 354,,,,,,,,,,,,,,,2016-07-20,041 943 9848,휴업,,2019-09-11,2021-09-10,33362,주거지역,,기타,,,,,
버디버디,일반야영장업,,,충청남도 태안군 남면 진산1길 277-200,,,,,,,,,,,,,,,2016-07-12,,휴업,,2021-07-06,2022-07-06,32151,관리지역,,,,,,,
유토피아 오토캠핑장,자동차야영장업,,,충청남도 논산시 벌곡면 수락로 669-54,,,,,,,,,,,,,,,2015-06-30,041 733 1002,휴업,,2020-10-19,2021-10-18,33026,,,,,근린생활시설,,,
삼봉자동차야영장,자동차야영장업,,,충청남도 태안군 안면읍 삼봉길 209-3,,,,,,,,,,,,,,,2015-06-22,416731066,휴업,,2021-07-01,2022-06-30,32162,관리지역,0,기타,,,0,0,0
동양원목캠핑장,자동차야영장업,,,강원도 영월군 무릉도원면 명마동길 13,,,,,,,,,,,,,,,2019-06-12,,휴업,,2023-03-29,2024-04-30,26201,관리지역,0,,농협손해보험,,0,0,0
오고집 글램핑,자동차야영장업,,,강원도 홍천군 화촌면 노루터길 135,,,,,,,,,,,,,,,2015-05-29,033-433-7005,휴업,,2020-12-01,2023-12-01,25159,관리지역,2,기타,,근린생활시설,2,,
진악산오토캠핑장,자동차야영장업,,,충청남도 금산군 남이면 진악로 138-2,,,,,,,,,,,,,,,2021-08-25,,휴업,,2021-12-01,2022-02-24,32751,관리지역,1,기타,,근린생활시설,1,0,0
주식회사 제이에스글로벌,자동차야영장업,,,충청남도 예산군 덕산면 온천단지3로 42-3,,,,,,,,,,,,,,,2015-08-07,041-337-7401,폐업,2021-05-17,,,32406,관리지역,1,기타,,사무실,1,,
백도오토캠핑장,자동차야영장업,,,강원도 고성군 죽왕면 문암항길 133,,,,,,,,,,,,,,,2019-05-31,,폐업,2019-08-31,,,24752,관리지역,,기타,,,,,
속초동해카라반호텔,자동차야영장업,,,"강원도 고성군 죽왕면 삼포해변길 9, 오션투유콘도",,,,,,,,,,,,,,,2019-07-08,033-631-3811,폐업,2019-11-11,,,24750,,,,,,,,
노동계곡 오토캠핑장,자동차야영장업,,,강원도 평창군 용평면 이승복생가길 160,,,,,,,,,,,,,,,2015-06-15,033 3328829,폐업,2017-07-18,,,25312,관리지역,,,,,,,
호호캠핑장,자동차야영장업,,,강원도 원주시 신림면 무시정길 16,,,,,,,,,,,,,,,2015-05-08,,폐업,2019-08-01,,,26506,관리지역,1,기타,,근린생활시설,1,,
섬강두꺼비오토캠핑장,자동차야영장업,,,강원도 원주시 부론면 선유길 135,,,,,,,,,,,,,,,2015-10-01,,폐업,2017-03-28,,,26497,관리지역,2,기타,,단독주택,2,,
데일리랜드,자동차야영장업,,,강원도 춘천시 동산면 윗성골길 54,,,,,,,,,,,,,,,2015-09-08,,폐업,2022-02-09,,,24410,관리지역,,기타,현대해상,,,,
낙산해변야영장,자동차야영장업,,,강원도 양양군 양양읍 해맞이길 125,,,,,,,,,,,,,,,2015-06-18,336702518,폐업,2022-06-16,,,25015,관리지역,0,기타,,,0,0,0
화진포 오토캠핑장,자동차야영장업,,,강원도 고성군 현내면 모정2길 2,,,,,,,,,,,,,,,2015-08-04,336824290,폐업,2020-01-10,,,24707,관리지역,1,기타,,기타,1,,
속초동해카라반호텔 캠핑장,자동차야영장업,,,"강원도 고성군 죽왕면 삼포해변길 9, 오션투유콘도",,,,,,,,,,,,,,,2020-06-30,033-631-3811,폐업,2020-11-01,,,24750,,,,,,,,
(주)이랜드파크 켄싱턴리조트 설악비치,자동차야영장업,,,"강원도 고성군 토성면 아야진해변길 1, 1동 302호 (클레시움아파트)",,,,,,,,,,,,,,,2015-12-11,033-631-7601,폐업,2022-08-17,,,24758,관리지역,1,기타,,기타,0,0,0
봉수대오토캠핑장,자동차야영장업,,,강원도 고성군 죽왕면 봉수대길 1 (봉수대관리사무소),,,,,,,,,,,,,,,2016-07-15,,폐업,2016-09-27,,,24747,관리지역,1,기타,,근린생활시설,1,,
백도오토캠핑장,자동차야영장업,,,강원도 고성군 죽왕면 문암항길 133,,,,,,,,,,,,,,,2017-07-21,033 680 3356,폐업,2018-11-06,,,24752,,,,,,,,
길캠프,자동차야영장업,,,강원도 영월군 수주면 황정길 29,,,,,,,,,,,,,,,2015-05-26,,폐업,2015-10-16,,,26200,,,,,,,,
아름다운 캠프,자동차야영장업,,,강원도 동해시 대진1길 47-2 (대진동),,,,,,,,,,,,,,,2017-04-20,,폐업,2023-01-30,,,25708,자연녹지지역,1,기타,NH농협(사고배상책임보험),근린생활시설,1,,
백도오토캠핑장,자동차야영장업,,,강원도 고성군 죽왕면 문암항길 133,,,,,,,,,,,,,,,2018-09-20,,폐업,2018-11-06,,,24752,,,기타,,,,,
소백산자락길캠핑장,자동차야영장업,,,충청북도 단양군 영춘면 영부로 2545,,,,,,,,,,,,,,,2015-05-01,,폐업,2018-11-30,,,27019,,,,,,,,
(주)농업법인 한국영농 오토캠핑장,자동차야영장업,,,충청북도 청주시 청원구 오창읍 여천3길 235,,,,,,,,,,,,,,,2015-06-11,043 252 1515,폐업,2019-05-30,,,28127,,,,,,,,
주)도산도방 관성체험학교,자동차야영장업,,,충청북도 음성군 생극면 일생로 544,,,,,,,,,,,,,,,2015-04-24,070-7740-4697,폐업,2019-09-30,,,27621,,,,,,,,
테하스랜드 글램핑장,자동차야영장업,,,충청남도 논산시 연무읍 안심로220번길 60-24,,,,,,,,,,,,,,,2018-07-04,041-741-5060,영업/정상,,,,33009,관리지역,1,기타,,문화시설,1,,
사계절 오토캠핑장,자동차야영장업,,,충청남도 공주시 유구읍 무드리길 64,,,,,,,,,,,,,,,2013-12-18,,영업/정상,,,,32500,,,,,,,,
웅진오토캠핑장,자동차야영장업,,,충청남도 공주시 관광단지길 12 (웅진동),,,,,,,,,,,,,,,2014-02-18,041-840-8900,영업/정상,,,,32535,,,,,,,,
계룡산동학사자동차야영장,자동차야영장업,,,충청남도 공주시 반포면 동학사2로 115-16,,,,,,,,,,,,,,,2015-06-09,042-825-9597,영업/정상,,,,32626,전용주거지역,1,기타,,체육시설,1,0,0
벌곡오토캠핑장,자동차야영장업,,,충청남도 논산시 벌곡면 수락로517번길 36-5,,,,,,,,,,,,,,,2015-06-08,,영업/정상,,,,33026,,,,,문화시설,,,
아산글램핑캠핑장,자동차야영장업,,,충청남도 아산시 선장면 학성로 214,,,,,,,,,,,,,,,2015-07-02,041 547 7882,영업/정상,,,,31544,,0,,,,0,0,0
예당관광지 국민여가캠핑장,자동차야영장업,,,충청남도 예산군 응봉면 예당관광로 123,,,,,,,,,,,,,,,2013-11-29,041-339-8281,영업/정상,,,,32447,관리지역,3,기타,,근린생활시설,2,1,
무창포카라반파크,자동차야영장업,,,충청남도 보령시 웅천읍 동뒤마을길 49-24,,,,,,,,,,,,,,,2015-08-10,041-934-6362,영업/정상,,,,33509,관리지역,,기타,,,,,
몽산포자동차야영장,자동차야영장업,,,충청남도 태안군 남면 몽산포길 63-43,,,,,,,,,,,,,,,2015-08-03,416727267,영업/정상,,,,32153,,,기타,,기타,,,
상황오토캠핑장,자동차야영장업,,,충청남도 홍성군 서부면 서부서길 633-60,,,,,,,,,,,,,,,2016-08-23,041-631-6160,영업/정상,,,,32204,관리지역,1,기타,흥국화재해상보험(주),근린생활시설,1,0,0
국민여가캠핑장,자동차야영장업,,,충청남도 금산군 제원면 닥실길 16,,,,,,,,,,,,,,,2015-03-30,,영업/정상,,,,32720,,,,,,,,
홍산관광농원 캠핑장,자동차야영장업,,,충청남도 부여군 홍산면 삽티로 465,,,,,,,,,,,,,,,2015-07-27,041 836 1332,영업/정상,,,,33202,관리지역,,기타,,근린생활시설,1,,
백마강카라반오토캠핑장,자동차야영장업,,,충청남도 부여군 규암면 왕흥로 424,,,,,,,,,,,,,,,2015-09-01,,영업/정상,,,,33114,자연녹지지역,,,,기타,,,
학암포자동차야영장,자동차야영장업,,,충청남도 태안군 원북면 옥파로 1152-37,,,,,,,,,,,,,,,2015-07-10,416743224,영업/정상,,,,32105,,,,,,,,
태안별빛오토캠핑장,자동차야영장업,,,충청남도 태안군 소원면 법산길 160-20,,,,,,,,,,,,,,,2015-09-03,041-674-9255,영업/정상,,,,32119,관리지역,,기타,,기타,,,
태안라온캠핑장,자동차야영장업,,,충청남도 태안군 원북면 옥파로 1019,,,,,,,,,,,,,,,2016-03-08,,영업/정상,,,,32106,관리지역,,기타,,기타,1,,
청주시 미래지농촌테마공원 오토캠핑장,자동차야영장업,,,충청북도 청주시 청원구 오창읍 미래지로 68,,,,,,,,,,,,,,,2019-03-14,043-201-4435,영업/정상,,,,28105,,0,,,,0,0,0
고목정,자동차야영장업,,,충청남도 청양군 대치면 칠갑산로 668-21,,,,,,,,,,,,,,,2019-02-12,,영업/정상,,,,33344,관리지역,,기타,,환경위생시설,,,
독립기념관 캠핑장,자동차야영장업,,,"충청남도 천안시 동남구 목천읍 독립기념관로 1, 독립기념관",,,,,,,,,,,,,,,2019-03-29,041-560-0114,영업/정상,,,,31232,,0,,,,0,0,0
숲속에 머물다,자동차야영장업,,,강원도 춘천시 서면 툇골길 349,,,,,,,,,,,,,,,2022-04-20,0507-1343-0407,영업/정상,,,,24460,자연녹지지역,0,,농협손해보험,,0,0,0
삼척안뜰캠핑장,자동차야영장업,,,강원도 삼척시 근덕면 내평길 267,,,,,,,,,,,,,,,2022-04-26,,영업/정상,,,,25936,관리지역,0,기타,,,0,0,0
클럽레스피아in삽교바다공원,자동차야영장업,,,충청남도 당진시 신평면 산정길 93,,,,,,,,,,,,,,,2018-07-19,,영업/정상,,,,31743,,,기타,삼성화재,,,,
농업법인주식회사 고운힐링팜,자동차야영장업,,,충청남도 청양군 청양읍 식물원길 398-1,,,,,,,,,,,,,,,2016-11-01,041-942-8010,영업/정상,,,,33302,관리지역,,,,,,,
청양 칠갑산오토캠핑장,자동차야영장업,,,충청남도 청양군 대치면 까치내로 710,,,,,,,,,,,,,,,2013-03-05,041-940-2700,영업/정상,,,,345-891,관리지역,,,,,,,
청양동강리오토캠핑장,자동차야영장업,,,충청남도 청양군 청남면 금강변로 868-135,,,,,,,,,,,,,,,2016-06-09,041-940-2706,영업/정상,,,,33364,관리지역,,,,,,,
국립희리산해송자연휴양림,자동차야영장업,,,충청남도 서천군 종천면 희리산길 206,,,,,,,,,,,,,,,2015-05-27,041-953-2230,영업/정상,,,,33612,관리지역,0,기타,,,0,0,0
평화의댐 오토캠핑장,자동차야영장업,,,강원도 화천군 화천읍 비수구미길 145-145,,,,,,,,,,,,,,,2019-04-01,070-7727-1290,영업/정상,,,,24110,,1,,,사무실,1,,
솔향강릉카라반캠핑장,자동차야영장업,,,"강원도 강릉시 경강로 2580, 강릉경찰수련원 (견소동)",,,,,,,,,,,,,,,2019-05-29,,영업/정상,,,,25561,일반주거지역,,,,,,,
명파 해변 오토캠핑장,자동차야영장업,,,강원도 고성군 현내면 명파4길 47,,,,,,,,,,,,,,,2019-05-13,,영업/정상,,,,24701,관리지역,,기타,,,,,
연산황산벌 오토캠핑장,자동차야영장업,,,충청남도 논산시 연산면 신신양로 187-8,,,,,,,,,,,,,,,2016-06-01,,영업/정상,,,,32911,,,,,,,,
유한회사 패밀리랜드 카라반캠핑장,자동차야영장업,,,광주광역시 북구 우치로 677 (생용동),,,,,,,,,,,,,,,2019-05-22,062-607-8088,영업/정상,,,,61028,녹지지역,1,,현대해상,,1,0,0
태백구문소힐링캠프,자동차야영장업,,,강원도 태백시 태백로 2417 (동점동),,,,,,,,,,,,,,,2019-08-22,,영업/정상,,,,26049,상업지역,0,,,,0,0,0
자연에 머물다,자동차야영장업,,,강원도 춘천시 사북면 화악지암길 186,,,,,,,,,,,,,,,2019-07-30,,영업/정상,,,,24200,관리지역,,,삼성화재,,,,
상소오토캠핑장,자동차야영장업,,,대전광역시 동구 산내로 748 (상소동),,,,,,,,,,,,,,,2015-05-14,042-273-4174,영업/정상,,,,34712,,0,,한국지방재정공제회,,0,0,0
횡성산울림오토캠핑장,자동차야영장업,,,강원도 횡성군 청일면 청일로895번길 127,,,,,,,,,,,,,,,2016-07-01,,영업/정상,,,,25255,,,,,,,,
인제연가리오토캠핑장펜션,자동차야영장업,,,강원도 인제군 기린면 조침령로 1418-7,,,,,,,,,,,,,,,2014-05-19,,영업/정상,,,,24653,,,,,,,,
꿈꾸는 농부 오토캠핑장,자동차야영장업,,,대전광역시 동구 산내로 716 (상소동),,,,,,,,,,,,,,,2019-12-31,,영업/정상,,,,34712,,,,재산종합보험(농협),,,,
하선암 카라반 야영장,자동차야영장업,,,충청북도 단양군 단성면 선암계곡로 1369-1,,,,,,,,,,,,,,,2022-03-29,043-653-3250,영업/정상,,,,27026,,0,기타,,기타,1,0,0
캠핑팔공팔,자동차야영장업,,,"충청북도 충주시 동량면 미라실로 689-1, 캠핑 808",,,,,,,,,,,,,,,2022-03-03,,영업/정상,,,,27321,,0,,DB손해보험주식회사,,0,0,0
솔내음캠핑장,자동차야영장업,,,충청북도 제천시 봉양읍 명암로 466-11,,,,,,,,,,,,,,,2022-02-21,,영업/정상,,,,27108,관리지역,0,기타,,기타,0,0,0
장태산자연휴양림 캠핑장,자동차야영장업,,,"대전광역시 서구 장안로 461 (장안동, 장태산휴양림관리사무소)",,,,,,,,,,,,,,,2016-06-13,422707883,영업/정상,,,,35428,,,,,,,,
태백 눈꽃 야영장,자동차야영장업,,,강원도 태백시 태백산로 4769 (소도동),,,,,,,,,,,,,,,2020-02-21,033-553-4135,영업/정상,,,,26043,일반상업지역,1,기타,,근린생활시설,1,0,0
원산도비치캠핑장,자동차야영장업,,,충청남도 보령시 오천면 원산도4길 59,,,,,,,,,,,,,,,2022-03-24,041-935-1182,영업/정상,,,,33411,,0,,,,0,0,0
금산만악리수목원 오토캠핑장,자동차야영장업,,,"충청남도 금산군 진산면 초미동길 138-10, 금산만악리수목원오토캠핑장",,,,,,,,,,,,,,,2021-12-21,,영업/정상,,,,32706,관리지역,1,기타,DB손해보험,기타,1,0,0
그자리 야영장,자동차야영장업,,,강원도 홍천군 서면 노일로 478,,,,,,,,,,,,,,,2021-12-29,,영업/정상,,,,25101,관리지역,1,,,,0,0,0
잇츠 캠핑,자동차야영장업,,,충청북도 제천시 덕산면 월악산로 340,,,,,,,,,,,,,,,2023-04-28,,영업/정상,,,,27225,관리지역,1,,,기타,0,0,0
천안 트리하우스,자동차야영장업,,,충청남도 천안시 동남구 광덕면 해수길 291,,,,,,,,,,,,,,,2023-04-17,,영업/정상,,,,31220,,0,기타,,,0,0,0
